x,y,z,vx,vy,vz
  6.02868566990831E+05,  1.40437407851445E+06,  2.44161160424100E+05,  4.76058752935425E-01,  1.33997583992577E+00,  2.11496512407033E-01
  5.99418849277389E+05,  1.40252442503394E+06,  2.43258746696233E+05,  4.71923994338909E-01,  1.33716870503801E+00,  2.10405717507093E-01
  6.02697148993314E+05,  1.40455177409030E+06,  2.43314577406694E+05,  4.75867454569828E-01,  1.34014221785263E+00,  2.10632047887824E-01
  6.00678570252992E+05,  1.40439601182781E+06,  2.42676339956076E+05,  4.73559334865446E-01,  1.33966661176819E+00,  2.09920973530838E-01
  6.01394875321819E+05,  1.40284847733831E+06,  2.43183758530178E+05,  4.74188272789881E-01,  1.33781935319434E+00,  2.10388908381021E-01
  6.02671947534474E+05,  1.40341412062576E+06,  2.43688379394220E+05,  4.75706280026847E-01,  1.33871736472329E+00,  2.10965031286515E-01
  6.00996796473123E+05,  1.40331005338086E+06,  2.42485790617795E+05,  4.73779748467936E-01,  1.33832203091331E+00,  2.09684545115828E-01
  6.00976388320610E+05,  1.40280226647963E+06,  2.43762299500861E+05,  4.73722943741758E-01,  1.33773546052633E+00,  2.10973063493390E-01
  5.99470061203533E+05,  1.40090964934199E+06,  2.43700895526293E+05,  4.71792729838692E-01,  1.33514993022145E+00,  2.10786415398717E-01
  5.99471409447384E+05,  1.40112206651240E+06,  2.43748201261463E+05,  4.71821322958479E-01,  1.33542118976552E+00,  2.10847398594560E-01
  6.00528024855634E+05,  1.40302164666167E+06,  2.42844444008488E+05,  4.73224674570255E-01,  1.33791517034731E+00,  2.10031997634336E-01
  6.03165333991870E+05,  1.40297467559503E+06,  2.43920959043545E+05,  4.76211680267535E-01,  1.33823290046022E+00,  2.11192918582384E-01
  6.02454887434260E+05,  1.40367280598690E+06,  2.42513571346447E+05,  4.75464674687802E-01,  1.33896527044744E+00,  2.09763189597273E-01
  6.01118751702519E+05,  1.40411259829246E+06,  2.43948458624782E+05,  4.74051935489533E-01,  1.33942055620530E+00,  2.11225014131484E-01
  6.02061184052655E+05,  1.40495732598367E+06,  2.43660542707260E+05,  4.75207728743963E-01,  1.34059396993701E+00,  2.10993698657872E-01
  6.03065469984411E+05,  1.40314416222211E+06,  2.41978097334311E+05,  4.76078818627839E-01,  1.33834368766751E+00,  2.09206542886178E-01
  6.01229650250498E+05,  1.40213556395316E+06,  2.43829877478645E+05,  4.73928313586964E-01,  1.33692520877655E+00,  2.11017746595013E-01
  6.02230757940166E+05,  1.40489924263645E+06,  2.44161634026112E+05,  4.75402824191043E-01,  1.34056334079689E+00,  2.11510659554382E-01
  6.03296877509057E+05,  1.40449289496651E+06,  2.43922905414741E+05,  4.76549395203486E-01,  1.34017031668971E+00,  2.11267367459304E-01
  6.01501900776926E+05,  1.40507222597007E+06,  2.42889587247500E+05,  4.74577425179833E-01,  1.34063252410174E+00,  2.10192597214927E-01
  6.01000667298690E+05,  1.40442912821548E+06,  2.43786802620723E+05,  4.73954663410277E-01,  1.33979694632783E+00,  2.11071690335087E-01
